# Avida Dominant Data
# Thu Feb 26 18:32:17 2009
#  1: Update
#  2: Average Merit of the Dominant Genotype
#  3: Average Gestation Time of the Dominant Genotype
#  4: Average Fitness of the Dominant Genotype
#  5: Repro Rate?
#  6: Size of Dominant Genotype
#  7: Copied Size of Dominant Genotype
#  8: Executed Size of Dominant Genotype
#  9: Abundance of Dominant Genotype
# 10: Number of Births
# 11: Number of Dominant Breed True?
# 12: Dominant Gene Depth
# 13: Dominant Breed In
# 14: Max Fitness?
# 15: Genotype ID of Dominant Genotype
# 16: Name of the Dominant Genotype

17900 1317.54 241.529 5.45626 0.00414033 102 102 91.1765 8 0 0 414 0 73.7959 2189406 102-advya
18000 1277.09 248.294 5.1458 0.0040275 102 102 92.7059 10 4 2 402 0 70.7555 2204491 102-adxje
18100 1139.79 246.713 4.62151 0.00405334 103 103 90.5093 10 2 1 403 0 70.249 2180871 103-abefm
18200 1387.14 247.357 5.60884 0.00404275 102 102 92.8571 8 0 0 406 0 73.312 2229726 102-adzfi
18300 6573.85 262.317 21.739 0.00385762 102 102 92.9921 13 0 0 453 0 137.597 2225806 102-adyxc
18400 6823.9 371.603 15.0308 0.0027636 102 102 93.0882 10 3 2 455 0 71.0552 2242783 102-aeavq
18500 7547.06 270.235 24.2816 0.00375213 102 102 92.7654 11 0 0 456 0 70.5368 2266715 102-aecfj
18600 1207.47 246.971 4.88972 0.00404916 102 102 95.5882 8 0 0 428 0 70.1725 2277574 102-aedgk
18700 1147.24 243.938 4.7035 0.00409946 102 102 88.3958 12 0 0 459 0 70.0946 2294822 102-aeetp
18800 1660.24 242.562 6.74271 0.00413097 102 102 83.5938 9 2 2 479 0 70.8324 2306134 102-aefsn
18900 1252.48 246.8 5.07603 0.00405191 102 102 94.8615 9 0 0 458 0 71.8576 2311919 102-aegcs
19000 1576.43 242.952 6.47725 0.00411615 102 102 93.8226 9 0 0 442 0 70.6111 2314177 102-aegqh
19100 6222.56 349.868 15.8317 0.00287895 102 102 92.3585 13 2 1 465 0 71.9603 2340774 102-aeitu
19200 4226.59 260.306 14.0088 0.00387291 102 102 94.1633 9 0 0 463 0 70.0335 2355286 102-aejua
19300 7225.69 268.311 23.3252 0.00377814 102 102 93.4889 7 0 0 482 0 71.5702 2373214 102-aelet
19400 8155.83 269.098 26.5761 0.00376868 102 102 92.3659 11 0 0 490 0 71.2793 2389586 102-aemlf
19500 7225.36 264.8 23.7386 0.0038259 102 102 93.5429 10 0 0 484 0 70.6839 2394456 102-aemyf
19600 1261.34 243.935 5.17138 0.00409961 102 102 90.6452 10 4 1 439 0 70.9847 2413480 102-aeoku
19700 5282.64 257.5 17.5354 0.00392777 102 102 88.7917 9 0 0 498 0 70.9847 2428619 102-aeppw
19800 1248.44 248.741 5.02457 0.00402029 103 103 96.0648 10 0 0 472 0 70.315 2423983 103-abgzh
19900 1367.92 251.412 5.44239 0.00397755 102 102 95.1176 10 0 0 491 0 70.5391 2454733 102-aeruv
20000 1262.32 246.471 5.12323 0.0040573 102 102 90.9216 9 0 0 446 0 73.2263 2448022 102-aerxt
20100 6596.56 265 21.3923 0.00382363 102 102 92.7692 11 4 3 500 0 73.1247 2473926 102-aetub
20200 1301.8 246.597 5.2783 0.00405552 102 102 92.6935 10 0 0 449 0 138.18 2480615 102-aeuga
20300 1527.46 242 6.29988 0.00413234 102 102 91.875 8 0 0 470 0 71.8576 2509109 102-aewdg
20400 5266.17 262.073 17.1848 0.00385873 102 102 93.5854 9 4 2 514 0 71.6344 2510502 102-aewui
20500 1150.96 247.528 4.6475 0.00404014 103 103 95.0139 9 0 0 459 0 72.0821 2505973 103-abhvi
20600 5438.9 261.404 17.7408 0.00387195 102 102 90.6061 10 2 2 502 0 72.5908 2526011 102-aeyhx
20700 7559.6 268.795 24.3608 0.00377622 102 102 90.1136 9 4 2 506 0 71.1408 2549295 102-aezua
20800 6483.71 265.938 20.9121 0.00381033 102 102 95.6462 9 0 0 510 0 145.6 2560152 102-afaqb
20900 1354.65 329.538 4.11123 0.00303457 102 102 90.8462 8 0 0 479 0 69.9343 2578681 102-afcms
21000 1264.56 245.957 5.14193 0.00406587 102 102 92.1304 9 1 0 506 0 71.0552 2585619 102-afcza
21100 1225.31 248.463 4.93381 0.00402475 102 102 93.0407 10 1 0 526 0 71.4382 2589437 102-afdbs
